Type,Name,URL,CRC,Size
FILE,IBM PC Compatibles - CD - Multimedia (TOSEC-v2012-07-13_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/IBM/PC Compatibles/CD/Multimedia/IBM PC Compatibles - CD - Multimedia/IBM PC Compatibles - CD - Multimedia (TOSEC-v2012-07-13_CM).dat,4057473623,46020
DIRECTORY,Compilations,,,
DIRECTORY,IBM PC Compatibles - CD - Compilations,,,
FILE,IBM PC Compatibles - CD - Compilations (TOSEC-v2012-07-13_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/IBM/PC Compatibles/CD/Compilations/IBM PC Compatibles - CD - Compilations/IBM PC Compatibles - CD - Compilations (TOSEC-v2012-07-13_CM).dat,839514258,2211
DIRECTORY,Namco-Sega-Nintendo,,,
DIRECTORY,Triforce,,,
DIRECTORY,Applications,,,
DIRECTORY,Namco-Sega-Nintendo Triforce - Applications,,,
FILE,Namco-Sega-Nintendo Triforce - Applications (TOSEC-v2022-12-20_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/Namco-Sega-Nintendo/Triforce/Applications/Namco-Sega-Nintendo Triforce - Applications/Namco-Sega-Nintendo Triforce - Applications (TOSEC-v2022-12-20_CM).dat,551438064,1323
DIRECTORY,Games,,,
DIRECTORY,Namco-Sega-Nintendo Triforce - Games,,,
FILE,Namco-Sega-Nintendo Triforce - Games (TOSEC-v2022-12-20_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/Namco-Sega-Nintendo/Triforce/Games/Namco-Sega-Nintendo Triforce - Games/Namco-Sega-Nintendo Triforce - Games (TOSEC-v2022-12-20_CM).dat,269575560,8175
DIRECTORY,Mattel,,,
DIRECTORY,HyperScan,,,
DIRECTORY,Games,,,
DIRECTORY,Mattel HyperScan - Games,,,
