Type,Name,URL,CRC,Size
DIRECTORY,Luxor ABC 80 - Games - [DSK],,,
FILE,Luxor ABC 80 - Games - [DSK] (TOSEC-v2021-07-25_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/Luxor/ABC 80/Games/[DSK]/Luxor ABC 80 - Games - [DSK]/Luxor ABC 80 - Games - [DSK] (TOSEC-v2021-07-25_CM).dat,329047627,1527
DIRECTORY,[BIN],,,
DIRECTORY,Luxor ABC 80 - Games - [BIN],,,
FILE,Luxor ABC 80 - Games - [BIN] (TOSEC-v2021-07-25_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/Luxor/ABC 80/Games/[BIN]/Luxor ABC 80 - Games - [BIN]/Luxor ABC 80 - Games - [BIN] (TOSEC-v2021-07-25_CM).dat,2044617157,1202
DIRECTORY,ABC 806,,,
DIRECTORY,Operating Systems,,,
DIRECTORY,Luxor ABC 806 - Operating Systems,,,
FILE,Luxor ABC 806 - Operating Systems (TOSEC-v2018-03-08_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/Luxor/ABC 806/Operating Systems/Luxor ABC 806 - Operating Systems/Luxor ABC 806 - Operating Systems (TOSEC-v2018-03-08_CM).dat,4189171461,1489
DIRECTORY,Applications,,,
